cntry,netusoft,nwsptot,ppltrst,rdtot,tvtot,actrolga,bctprd,dclagr,dclaid,dclcrm,dclenv,dclmig,dclwlfr,dmcntov,euftf,gincdif,ginveco,lawobey,lrscale,polintr,stfeco,stfedu,stfgov,stfhlth,stflife,trstplc,trstplt,trstun,trstsci,imbgeco,aesfdrk,atchctr,atcherp,blgetmg,dscrgnd,dscrrlg,happy,health,inprdsc,rlgdgr,sclmeet,ccnthum,vteumbgb,impenva,impfreea,impfuna,impricha,impsafea,imptrada,ipadvnta,ipcrtiva,iplylfra,ipmodsta,ipudrsta,cntryfcz,origfcz,orig
Grecia,4.0,1.0,5,7.0,7.0,2.0,2,3.0,1.0,1.0,1.0,3.0,3.0,8.0,7.0,2,4.0,2.0,3,3,6,4,5.0,4,7,6,5,3,5.0,5,2,6.0,4.0,2.0,0,0,7,2,2.0,5,4,3.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,10,1,Nacional
Francia,5.0,2.0,5,1.0,4.0,2.0,1,3.0,1.0,1.0,1.0,3.0,3.0,8.0,5.0,2,4.0,2.0,6,3,2,8,3.0,8,10,9,5,5,8.0,5,2,10.0,7.0,2.0,0,0,8,1,4.0,1,4,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,8,1,Nacional
Noruega,4.0,1.0,4,7.0,7.0,4.0,2,3.0,1.0,1.0,1.0,3.0,3.0,8.0,3.0,2,4.0,2.0,0,1,6,7,4.0,8,5,8,6,6,8.0,5,2,9.0,8.0,2.0,0,0,7,2,4.0,1,6,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,17,1,Nacional
Suiza,2.0,1.0,5,7.0,7.0,2.0,2,3.0,1.0,1.0,1.0,3.0,3.0,8.0,3.0,2,4.0,2.0,8,2,8,8,8.0,8,8,9,6,2,3.0,5,2,10.0,7.0,2.0,0,0,8,3,4.0,8,4,3.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,2,1,Nacional
Irlanda,5.0,2.0,10,7.0,4.0,2.0,2,3.0,1.0,1.0,1.0,3.0,3.0,8.0,10.0,1,4.0,2.0,5,2,8,9,4.0,0,10,4,1,5,8.0,5,1,10.0,7.0,2.0,0,0,10,2,4.0,5,5,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,12,1,Nacional
Chequia,5.0,1.0,5,7.0,7.0,2.0,1,3.0,1.0,1.0,1.0,3.0,3.0,6.0,5.0,1,4.0,2.0,6,4,3,10,3.0,5,7,8,1,3,8.0,5,3,10.0,7.0,2.0,0,0,8,1,3.0,0,5,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,3,1,Nacional
Polonia,5.0,1.0,8,7.0,7.0,3.0,2,3.0,1.0,1.0,1.0,3.0,3.0,8.0,7.0,3,4.0,2.0,4,2,6,4,0.0,1,10,3,2,5,8.0,9,2,8.0,8.0,2.0,0,0,10,1,4.0,5,4,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,18,2,Mixto
Finlandia,5.0,1.0,8,1.0,6.0,2.0,2,3.0,1.0,1.0,1.0,3.0,3.0,8.0,1.0,1,4.0,2.0,3,4,5,8,5.0,7,8,9,4,9,8.0,1,2,10.0,7.0,2.0,0,0,9,1,4.0,0,6,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,7,1,Nacional
Francia,5.0,1.0,4,7.0,3.0,2.0,2,3.0,1.0,1.0,1.0,3.0,3.0,8.0,8.0,4,4.0,2.0,6,2,3,7,3.0,5,8,5,3,6,8.0,5,2,10.0,7.0,2.0,0,0,8,2,4.0,6,5,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,8,1,Nacional
Chequia,5.0,1.0,3,7.0,5.0,2.0,2,3.0,1.0,1.0,1.0,3.0,3.0,4.0,7.0,3,4.0,2.0,4,2,8,8,8.0,6,8,3,0,2,8.0,5,2,10.0,7.0,2.0,0,0,4,3,0.0,9,4,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,3,1,Nacional
Alemania,5.0,3.0,9,3.0,3.0,2.0,1,3.0,1.0,1.0,1.0,3.0,3.0,8.0,9.0,3,4.0,2.0,8,3,8,8,8.0,8,9,8,6,6,8.0,6,2,10.0,7.0,2.0,0,0,9,1,4.0,6,3,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,4,1,Nacional
Alemania,5.0,1.0,7,7.0,1.0,2.0,1,3.0,1.0,1.0,1.0,3.0,3.0,8.0,0.0,1,4.0,2.0,8,3,5,5,2.0,7,9,9,3,1,8.0,9,1,10.0,7.0,2.0,0,0,9,2,5.0,1,7,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,4,1,Nacional
