netusoft,nwsptot,ppltrst,rdtot,tvtot,actrolga,dclcrm,dclmig,dmcntov,euftf,gincdif,ideo_fcz,ideo,imbgeco,stfgov,aesfdrk,atchctr,atcherp,dscrgnd,happy,rlgdgr,sclmeet,origfcz,iplylfra,impenva,impfreea,impricha,imptrada,ipmodsta,ipudrsta
1.0,1.0,0,7.0,7.0,1.0,1.0,3.0,8.0,6.0,1,3,ExtremaDerecha,3,5.0,3,5.0,5.0,0,5,0,2,1,2.0,2.0,2.0,5.0,2.0,2.0,2.0
5.0,1.0,5,1.0,3.0,2.0,1.0,3.0,8.0,5.0,4,2,Socialdemócrata,7,5.0,2,10.0,7.0,0,7,7,4,1,2.0,2.0,2.0,5.0,2.0,2.0,2.0
5.0,2.0,3,3.0,5.0,2.0,1.0,3.0,8.0,7.0,1,2,Socialdemócrata,3,4.0,4,10.0,7.0,0,7,5,2,1,2.0,2.0,2.0,5.0,2.0,2.0,2.0
5.0,2.0,10,2.0,4.0,2.0,1.0,3.0,8.0,9.0,4,2,Socialdemócrata,7,6.0,3,10.0,7.0,0,10,10,7,1,2.0,2.0,2.0,5.0,2.0,2.0,2.0
5.0,1.0,9,7.0,7.0,2.0,1.0,3.0,8.0,2.0,3,2,Socialdemócrata,8,8.0,1,10.0,7.0,0,8,1,4,3,2.0,2.0,2.0,5.0,2.0,2.0,2.0
5.0,1.0,9,7.0,7.0,5.0,1.0,3.0,8.0,10.0,4,3,ExtremaDerecha,10,1.0,1,5.0,10.0,0,9,0,7,2,2.0,2.0,2.0,5.0,2.0,2.0,2.0
5.0,1.0,4,7.0,0.0,2.0,1.0,3.0,9.0,7.0,3,3,ExtremaDerecha,6,8.0,2,10.0,7.0,0,10,8,4,1,2.0,2.0,2.0,5.0,2.0,2.0,2.0
5.0,5.0,8,2.0,7.0,2.0,1.0,3.0,8.0,5.0,1,2,Socialdemócrata,5,6.0,2,10.0,7.0,0,8,10,6,1,2.0,2.0,2.0,5.0,2.0,2.0,2.0
5.0,1.0,5,7.0,2.0,2.0,1.0,3.0,7.0,0.0,1,2,Socialdemócrata,10,1.0,2,10.0,7.0,0,9,8,7,1,2.0,2.0,2.0,5.0,2.0,2.0,2.0
5.0,2.0,1,7.0,1.0,2.0,1.0,3.0,8.0,5.0,4,2,Socialdemócrata,5,5.0,2,10.0,7.0,0,10,5,6,1,2.0,2.0,2.0,5.0,2.0,2.0,2.0
5.0,0.0,1,0.0,7.0,2.0,1.0,3.0,8.0,0.0,2,3,ExtremaDerecha,0,2.0,2,10.0,7.0,0,5,5,3,1,2.0,2.0,2.0,5.0,2.0,2.0,2.0
5.0,1.0,6,3.0,5.0,2.0,1.0,2.0,8.0,5.0,3,3,ExtremaDerecha,4,7.0,1,10.0,7.0,0,6,1,5,1,2.0,2.0,2.0,5.0,2.0,2.0,2.0
5.0,0.0,2,0.0,4.0,2.0,3.0,2.0,8.0,5.0,2,2,Socialdemócrata,4,3.0,3,10.0,7.0,0,4,0,5,1,2.0,2.0,2.0,5.0,2.0,2.0,2.0
5.0,2.0,0,5.0,5.0,2.0,1.0,3.0,8.0,3.0,1,2,Socialdemócrata,0,3.0,1,10.0,7.0,0,8,0,5,1,2.0,2.0,2.0,5.0,2.0,2.0,2.0
5.0,5.0,5,2.0,3.0,2.0,3.0,1.0,8.0,5.0,3,3,ExtremaDerecha,7,8.0,2,10.0,7.0,0,10,7,6,1,2.0,2.0,2.0,5.0,2.0,2.0,2.0
5.0,1.0,5,7.0,6.0,2.0,1.0,3.0,7.0,9.0,2,2,Socialdemócrata,2,4.0,3,10.0,7.0,0,7,8,5,3,2.0,2.0,2.0,5.0,2.0,2.0,2.0
5.0,1.0,8,7.0,6.0,2.0,1.0,3.0,8.0,3.0,2,2,Socialdemócrata,3,2.0,2,10.0,7.0,0,7,4,4,1,2.0,2.0,2.0,5.0,2.0,2.0,2.0
5.0,1.0,5,7.0,7.0,1.0,1.0,3.0,8.0,0.0,1,3,ExtremaDerecha,3,0.0,1,10.0,7.0,0,4,9,3,1,2.0,2.0,2.0,5.0,2.0,2.0,2.0
5.0,1.0,6,7.0,7.0,2.0,1.0,3.0,8.0,6.0,2,2,Socialdemócrata,8,4.0,2,8.0,8.0,0,8,7,6,1,2.0,3.0,3.0,4.0,3.0,3.0,3.0
5.0,1.0,5,7.0,7.0,3.0,1.0,3.0,8.0,5.0,3,2,Socialdemócrata,5,1.0,1,6.0,6.0,0,7,0,5,1,2.0,2.0,2.0,5.0,2.0,2.0,2.0
5.0,0.0,1,5.0,7.0,2.0,1.0,3.0,8.0,5.0,2,1,SocialComunista,2,2.0,1,10.0,7.0,0,9,9,6,1,2.0,2.0,2.0,5.0,2.0,2.0,2.0
5.0,1.0,0,7.0,2.0,2.0,1.0,3.0,7.0,6.0,2,2,Socialdemócrata,7,0.0,2,10.0,7.0,0,8,2,7,1,2.0,2.0,2.0,5.0,2.0,2.0,2.0
5.0,0.0,6,2.0,3.0,2.0,1.0,3.0,8.0,6.0,2,2,Socialdemócrata,3,6.0,2,10.0,7.0,0,7,1,7,1,2.0,2.0,2.0,5.0,2.0,2.0,2.0
5.0,1.0,7,0.0,1.0,2.0,1.0,3.0,8.0,5.0,2,2,Socialdemócrata,3,1.0,2,10.0,7.0,0,9,7,5,1,2.0,2.0,2.0,5.0,2.0,2.0,2.0
5.0,1.0,5,7.0,7.0,3.0,1.0,3.0,8.0,5.0,3,2,Socialdemócrata,10,8.0,1,10.0,8.0,0,8,10,6,3,2.0,2.0,2.0,5.0,2.0,2.0,2.0
5.0,1.0,1,7.0,7.0,2.0,1.0,3.0,8.0,4.0,3,3,ExtremaDerecha,4,0.0,1,10.0,5.0,0,10,8,5,1,2.0,2.0,2.0,5.0,2.0,2.0,2.0
5.0,2.0,5,7.0,6.0,2.0,1.0,2.0,8.0,5.0,2,3,ExtremaDerecha,4,3.0,2,10.0,7.0,0,8,4,4,1,2.0,2.0,2.0,5.0,2.0,2.0,2.0
5.0,0.0,5,0.0,7.0,2.0,1.0,3.0,8.0,5.0,2,1,SocialComunista,5,5.0,2,10.0,7.0,0,6,9,2,1,2.0,2.0,2.0,5.0,2.0,2.0,2.0
5.0,1.0,3,7.0,2.0,2.0,1.0,3.0,9.0,0.0,1,1,SocialComunista,4,1.0,2,10.0,7.0,0,8,5,4,1,2.0,2.0,2.0,5.0,2.0,2.0,2.0
5.0,2.0,4,2.0,7.0,2.0,1.0,3.0,8.0,3.0,2,2,Socialdemócrata,4,5.0,3,10.0,7.0,0,4,6,3,1,2.0,2.0,2.0,5.0,2.0,2.0,2.0
5.0,1.0,5,7.0,2.0,2.0,1.0,3.0,9.0,5.0,5,2,Socialdemócrata,8,4.0,1,10.0,7.0,0,8,5,4,1,2.0,2.0,2.0,5.0,2.0,2.0,2.0
5.0,1.0,7,7.0,7.0,4.0,1.0,3.0,8.0,4.0,2,2,Socialdemócrata,7,7.0,2,9.0,9.0,0,8,0,7,1,2.0,2.0,1.0,3.0,2.0,5.0,2.0
5.0,1.0,7,7.0,7.0,4.0,1.0,3.0,8.0,6.0,2,2,Socialdemócrata,8,6.0,1,9.0,8.0,0,9,8,4,1,2.0,2.0,2.0,5.0,2.0,2.0,2.0
5.0,1.0,7,1.0,2.0,2.0,1.0,2.0,8.0,5.0,1,1,SocialComunista,7,5.0,1,10.0,7.0,0,4,6,3,1,2.0,2.0,2.0,5.0,2.0,2.0,2.0
5.0,2.0,7,4.0,5.0,2.0,1.0,3.0,8.0,4.0,2,3,ExtremaDerecha,6,7.0,2,10.0,7.0,0,5,7,4,3,2.0,2.0,2.0,5.0,2.0,2.0,2.0
5.0,2.0,9,2.0,3.0,2.0,1.0,3.0,8.0,5.0,2,1,SocialComunista,7,7.0,1,10.0,7.0,0,8,4,7,1,2.0,2.0,2.0,5.0,2.0,2.0,2.0
5.0,1.0,2,7.0,7.0,2.0,1.0,3.0,3.0,8.0,1,2,Socialdemócrata,10,0.0,2,10.0,7.0,0,0,3,3,1,2.0,2.0,2.0,5.0,2.0,2.0,2.0
5.0,1.0,5,7.0,2.0,2.0,1.0,3.0,8.0,3.0,4,2,Socialdemócrata,5,3.0,2,10.0,7.0,0,6,1,5,1,2.0,2.0,2.0,5.0,2.0,2.0,2.0
5.0,2.0,9,3.0,4.0,2.0,1.0,1.0,8.0,5.0,1,2,Socialdemócrata,9,2.0,2,10.0,7.0,0,8,10,7,1,2.0,2.0,2.0,5.0,2.0,2.0,2.0
5.0,2.0,7,2.0,5.0,2.0,1.0,3.0,8.0,6.0,2,2,Socialdemócrata,5,7.0,2,10.0,7.0,0,8,6,6,1,2.0,2.0,2.0,5.0,2.0,2.0,2.0
5.0,1.0,4,1.0,4.0,2.0,1.0,3.0,8.0,6.0,2,2,Socialdemócrata,5,7.0,3,10.0,7.0,0,8,1,7,1,2.0,2.0,2.0,5.0,2.0,2.0,2.0
5.0,1.0,5,0.0,6.0,2.0,1.0,3.0,8.0,10.0,4,1,SocialComunista,6,5.0,3,10.0,7.0,0,8,6,3,1,2.0,2.0,2.0,5.0,2.0,2.0,2.0
5.0,1.0,5,7.0,7.0,2.0,1.0,3.0,7.0,0.0,1,2,Socialdemócrata,5,5.0,2,10.0,7.0,0,9,4,4,1,2.0,2.0,2.0,5.0,2.0,2.0,2.0
5.0,4.0,7,3.0,5.0,2.0,1.0,3.0,8.0,5.0,3,3,ExtremaDerecha,7,8.0,1,10.0,7.0,0,8,6,4,1,2.0,2.0,2.0,5.0,2.0,2.0,2.0
1.0,1.0,5,7.0,7.0,1.0,1.0,3.0,8.0,7.0,1,2,Socialdemócrata,0,7.0,2,10.0,6.0,0,7,5,4,1,2.0,2.0,2.0,5.0,2.0,2.0,2.0
5.0,0.0,2,0.0,6.0,2.0,1.0,3.0,8.0,5.0,3,2,Socialdemócrata,2,3.0,1,10.0,7.0,0,9,0,5,1,2.0,2.0,2.0,5.0,2.0,2.0,2.0
5.0,2.0,7,0.0,6.0,2.0,1.0,3.0,8.0,6.0,4,1,SocialComunista,3,1.0,3,10.0,7.0,0,5,3,4,1,2.0,2.0,2.0,5.0,2.0,2.0,2.0
5.0,1.0,8,7.0,7.0,3.0,1.0,3.0,8.0,3.0,2,2,Socialdemócrata,4,5.0,2,8.0,6.0,0,8,7,6,1,2.0,2.0,2.0,5.0,2.0,2.0,2.0
5.0,3.0,8,1.0,0.0,2.0,1.0,3.0,8.0,5.0,2,2,Socialdemócrata,10,1.0,1,10.0,7.0,0,7,0,7,1,2.0,2.0,2.0,5.0,2.0,2.0,2.0
5.0,1.0,6,7.0,2.0,2.0,1.0,3.0,8.0,5.0,2,2,Socialdemócrata,5,0.0,4,10.0,7.0,0,9,5,7,1,2.0,2.0,2.0,5.0,2.0,2.0,2.0
5.0,1.0,5,7.0,7.0,3.0,1.0,3.0,8.0,2.0,1,1,SocialComunista,5,5.0,1,7.0,3.0,0,8,4,5,1,2.0,2.0,2.0,5.0,2.0,2.0,2.0
5.0,0.0,0,0.0,7.0,2.0,1.0,3.0,8.0,10.0,2,3,ExtremaDerecha,4,5.0,1,10.0,7.0,0,9,10,4,1,2.0,2.0,2.0,5.0,2.0,2.0,2.0
5.0,1.0,8,7.0,7.0,3.0,1.0,3.0,8.0,7.0,1,2,Socialdemócrata,7,7.0,2,9.0,8.0,0,10,7,5,1,2.0,2.0,2.0,5.0,2.0,2.0,2.0
5.0,3.0,8,3.0,4.0,2.0,1.0,1.0,8.0,5.0,2,2,Socialdemócrata,7,5.0,2,10.0,7.0,0,8,7,5,1,2.0,2.0,2.0,5.0,2.0,2.0,2.0
5.0,1.0,9,7.0,7.0,3.0,1.0,3.0,8.0,8.0,2,1,SocialComunista,8,8.0,1,9.0,6.0,0,8,3,4,1,2.0,2.0,2.0,5.0,2.0,2.0,2.0
5.0,1.0,8,7.0,7.0,2.0,1.0,3.0,8.0,5.0,2,1,SocialComunista,7,5.0,1,10.0,7.0,0,9,4,5,1,2.0,2.0,2.0,5.0,2.0,2.0,2.0
5.0,2.0,7,6.0,6.0,2.0,1.0,3.0,8.0,5.0,3,2,Socialdemócrata,6,7.0,2,10.0,7.0,0,8,3,6,1,2.0,2.0,2.0,5.0,2.0,2.0,2.0
5.0,0.0,3,0.0,4.0,2.0,1.0,3.0,8.0,2.0,2,1,SocialComunista,4,4.0,2,10.0,7.0,0,4,7,5,1,2.0,2.0,2.0,5.0,2.0,2.0,2.0
5.0,1.0,8,7.0,3.0,2.0,1.0,3.0,8.0,5.0,2,3,ExtremaDerecha,6,6.0,2,10.0,7.0,0,9,7,4,1,2.0,2.0,2.0,5.0,2.0,2.0,2.0
5.0,1.0,7,7.0,7.0,4.0,1.0,3.0,8.0,3.0,1,2,Socialdemócrata,4,6.0,2,8.0,5.0,0,8,8,7,1,2.0,2.0,2.0,5.0,2.0,2.0,2.0
5.0,2.0,6,7.0,3.0,2.0,1.0,3.0,8.0,5.0,4,2,Socialdemócrata,6,7.0,2,10.0,7.0,0,8,3,5,1,2.0,2.0,2.0,5.0,2.0,2.0,2.0
5.0,0.0,0,7.0,4.0,2.0,1.0,3.0,8.0,5.0,2,2,Socialdemócrata,8,3.0,3,10.0,7.0,0,9,2,7,1,2.0,2.0,2.0,5.0,2.0,2.0,2.0
