pplfair,pplhlp,ppltrst,euftf,gincdif,polintr,stfeco,stfedu,stfgov,stfhlth,stflife,trstplc,trstplt,trstun,imbgeco,atcherp,happy,rlgdgr,sclmeet,ccnthum,impenva,impfreea,impricha,impsafea,imptrada,ipcrtiva,ipeqopta,iplylfra,ipmodsta,ipudrsta,P_fc,ideo_fc
5,5,5,5,2,3,4,5,4,5,6,6,3,5,5,0,6,3,4,5,4,4,6,4,6,4,4,4,4,4,8,1
4,4,2,5,1,4,3,2,1,3,5,5,1,4,3,1,7,2,6,4,4,3,5,1,4,2,1,1,2,2,19,2
9,10,6,5,1,3,6,5,6,0,10,6,0,5,4,7,10,5,7,5,2,2,5,1,3,1,1,1,2,2,14,2
5,5,0,0,1,1,0,5,0,5,0,10,0,0,10,10,0,10,3,5,1,1,5,1,2,1,1,3,3,4,24,0
4,5,4,5,1,2,0,1,0,2,5,4,0,2,4,0,6,5,2,3,2,2,3,2,4,3,1,1,3,2,10,2
5,2,3,5,2,4,5,5,5,5,5,6,4,5,5,10,4,6,1,4,1,3,5,3,6,2,2,2,5,4,6,2
5,5,0,10,2,2,5,5,3,5,5,4,0,0,5,6,5,6,3,3,2,2,2,2,2,2,2,2,2,2,30,2
3,3,3,5,1,1,2,4,4,3,5,3,3,6,5,5,5,0,5,5,1,2,3,1,2,1,1,2,1,2,21,1
5,1,1,5,1,3,3,2,2,1,6,0,0,2,2,0,6,6,3,1,1,3,4,2,2,3,3,4,3,4,33,1
6,6,5,3,1,3,3,0,3,4,0,3,3,3,5,3,5,0,4,4,2,2,3,2,2,2,2,2,2,3,13,2
10,0,0,10,2,3,0,0,0,0,0,10,0,0,0,0,10,10,6,3,2,2,3,2,2,2,2,2,2,3,37,0
2,3,3,5,4,2,2,2,1,2,3,3,2,5,6,0,3,5,3,1,2,2,4,3,2,3,1,3,2,2,18,2
6,6,5,5,2,2,3,6,3,6,6,6,3,6,5,8,8,8,4,5,1,4,6,4,1,3,1,1,2,2,8,2
3,3,2,3,2,3,1,1,1,1,2,1,1,1,1,1,4,4,2,5,1,3,4,3,2,4,3,1,3,4,29,2
5,4,3,4,3,3,2,4,3,3,3,2,3,3,3,6,7,2,3,55,3,2,3,2,4,3,4,3,3,3,29,2
5,3,4,0,3,2,6,3,4,3,6,6,4,5,5,6,3,0,3,3,3,2,6,3,3,3,4,2,3,3,16,2
1,0,2,5,2,3,0,1,0,5,2,5,0,5,0,0,4,7,3,4,2,1,6,3,6,1,2,1,1,4,11,0
3,10,4,4,3,3,5,1,1,1,6,6,3,1,6,0,8,7,7,5,3,2,6,2,3,4,2,1,2,2,13,3
7,6,2,6,4,3,0,3,1,4,2,2,4,5,3,2,5,2,6,4,2,2,4,3,2,2,1,2,3,3,16,2
5,0,0,1,1,2,2,4,0,3,3,3,0,0,5,1,3,0,4,3,2,2,6,1,1,1,1,1,5,2,5,2
2,3,2,3,2,3,3,3,3,3,5,4,1,4,5,5,6,5,4,55,2,2,4,3,2,3,3,2,2,2,37,1
4,6,4,3,1,3,4,4,4,5,5,6,2,4,5,1,7,7,7,1,2,1,6,2,5,2,1,1,2,1,2,2
5,5,0,5,2,2,5,5,5,5,5,5,5,5,5,10,5,5,3,5,1,2,1,1,1,1,1,2,1,2,21,2
3,2,2,4,2,3,2,3,2,1,3,1,2,2,5,1,4,9,2,5,2,3,5,2,2,3,1,2,3,5,27,1
5,3,4,2,1,2,2,5,4,2,3,2,3,4,3,0,4,6,4,5,1,3,2,1,3,5,2,4,2,4,33,1
2,2,4,3,3,3,4,4,3,3,4,6,5,2,2,8,4,1,2,3,2,3,3,4,2,3,3,3,4,3,4,0
6,5,5,5,2,3,5,5,3,5,6,6,3,1,4,5,7,4,5,3,2,2,6,3,2,2,2,2,1,1,6,2
3,7,5,5,2,4,4,3,4,3,6,6,1,5,3,1,8,3,6,55,1,1,3,4,1,3,3,1,4,3,6,1
5,6,5,4,2,3,6,5,6,4,6,6,6,6,5,5,5,6,1,1,3,2,4,3,4,4,3,4,3,3,16,2
4,3,4,2,1,3,6,5,3,6,6,5,2,0,3,5,6,0,5,4,3,2,4,2,5,3,3,1,2,3,5,1
5,2,5,5,2,3,5,3,6,4,5,5,0,4,3,10,8,2,7,1,1,1,5,5,5,1,1,1,3,1,6,1
3,2,2,5,4,4,2,4,2,4,3,4,1,0,6,0,9,6,4,55,4,1,4,1,4,4,3,1,4,5,26,2
4,4,3,5,1,4,2,5,0,6,5,5,0,2,3,10,7,0,5,5,1,2,6,2,2,3,2,1,1,2,6,0
7,6,6,4,2,3,0,4,0,2,3,3,0,0,4,10,4,0,5,4,1,4,4,2,4,1,1,1,1,3,6,0
3,3,1,5,1,1,3,4,2,2,6,4,2,2,3,10,7,9,2,5,2,2,2,2,2,1,2,2,3,3,5,2
7,7,6,0,1,3,0,4,1,5,5,4,0,0,0,10,6,3,2,2,2,2,4,2,2,2,2,2,2,2,6,2
5,4,4,4,2,3,3,3,3,5,3,3,3,3,5,4,7,0,7,5,2,2,4,3,2,2,2,2,3,2,5,2
5,3,5,6,3,2,0,2,0,5,6,2,0,3,1,4,6,7,7,3,1,1,5,1,1,2,2,1,1,2,14,2
0,5,4,6,4,1,6,5,3,6,10,4,1,1,5,5,9,3,6,3,2,1,3,1,2,1,1,2,2,2,5,2
2,4,5,5,3,3,4,5,2,6,5,4,1,3,5,0,7,0,7,1,4,3,5,4,5,3,2,1,1,2,6,1
3,3,2,5,1,3,0,4,0,0,3,3,0,3,3,10,5,3,4,5,2,2,3,1,2,2,2,1,3,3,4,0
5,1,1,5,2,3,3,6,2,3,5,5,2,5,5,5,5,5,2,4,2,2,5,3,1,5,3,2,2,3,19,2
2,8,2,3,2,4,3,5,3,3,4,4,4,5,0,0,4,0,7,5,2,2,5,2,2,2,2,2,2,2,20,2
7,8,10,10,2,3,0,0,0,0,0,5,0,1,10,1,10,2,7,3,2,3,3,2,4,4,2,1,1,1,14,0
5,2,3,5,1,1,0,5,10,5,10,5,5,6,10,1,10,5,4,5,1,3,6,1,3,1,1,3,1,1,6,3
5,4,3,5,1,3,4,4,3,3,5,6,3,5,4,0,7,7,6,3,3,3,4,1,7,3,2,3,3,4,19,0
