netusoft,nwsptot,pplfair,pplhlp,ppltrst,rdtot,tvtot,actrolga,bctprd,dclagr,dclaid,dclcrm,dclenv,dclmig,dclwlfr,dmcntov,euftf,gincdif,ginveco,lawobey,lrscale,polintr,stfeco,stfedu,stfgov,stfhlth,stflife,trstplc,trstplt,trstun,trstsci,imbgeco,aesfdrk,atchctr,atcherp,blgetmg,brncntr,dscrgnd,dscrrlg,facntr,happy,health,inprdsc,mocntr,rlgdgr,sclmeet,ccnthum,vteumbgb,impenva,impfreea,impfuna,impricha,impsafea,imptrada,ipadvnta,ipcrtiva,ipeqopta,iplylfra,ipmodsta,ipudrsta,País,P_fc,GroupCntry
,3.0,3,4,3,0.0,3.0,,2,,,,,,,,5.0,1,,,5,3,2,4,6,5,3,6,3,1,,1,1,,,2.0,1,0,0,1,6,4,,1,4,6,,,2.0,2.0,3.0,6.0,3.0,3.0,5.0,4.0,2.0,1.0,3.0,3.0,Francia,8,0
,,3,4,2,,2.0,,2,,,,,,,,5.0,1,,,5,1,3,3,5,5,3,5,4,5,,5,1,,,2.0,1,0,0,1,6,2,3.0,1,5,4,,,1.0,2.0,5.0,6.0,5.0,6.0,5.0,1.0,1.0,1.0,5.0,2.0,Alemania,5,0
,,4,4,2,,2.0,,2,,,,,,,,2.0,3,,,5,4,0,0,0,6,1,5,0,4,,2,1,,,2.0,1,0,0,1,5,3,1.0,1,5,2,,,2.0,2.0,1.0,5.0,3.0,1.0,3.0,1.0,3.0,2.0,2.0,3.0,Francia,8,0
5.0,,5,0,10,,,3.0,2,,,,,,,,10.0,3,,,4,4,5,5,10,10,10,2,5,5,,10,4,5.0,0.0,,1,0,0,2,10,1,2.0,2,10,4,3.0,,2.0,2.0,2.0,6.0,2.0,2.0,5.0,6.0,1.0,2.0,5.0,5.0,Bélgica,2,0
,1.0,8,5,5,1.0,5.0,,2,,,,,,,,5.0,2,,,4,3,2,5,2,5,3,3,3,2,,5,1,,,2.0,1,0,0,1,8,1,,1,0,6,,,4.0,5.0,2.0,2.0,5.0,2.0,1.0,3.0,1.0,2.0,2.0,6.0,Alemania,5,0
,0.0,3,2,3,1.0,3.0,,2,,,,,,,,0.0,1,,,2,2,1,2,1,4,2,0,0,2,,0,3,,,2.0,1,0,0,1,3,3,,1,2,4,,,3.0,4.0,4.0,5.0,2.0,4.0,5.0,3.0,1.0,3.0,1.0,2.0,Francia,8,0
3.0,,3,4,3,,,1.0,2,,,,,,,,6.0,2,,,6,4,3,5,4,3,4,4,3,5,,3,1,7.0,3.0,2.0,1,0,0,1,5,2,2.0,1,2,7,,,2.0,3.0,2.0,5.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,Suecia,20,0
4.0,,3,1,2,,,1.0,2,,,,,,,,0.0,3,,,5,3,5,3,1,5,4,2,0,4,1.0,1,2,1.0,1.0,,2,0,0,2,1,3,1.0,2,5,6,3.0,,,,,,,,,,,,,,Alemania,5,0
5.0,,9,6,6,,,4.0,1,,,,,,,,4.0,1,,,4,2,5,5,2,5,6,4,0,2,,5,3,9.0,6.0,2.0,1,0,0,2,6,4,4.0,2,1,6,,,3.0,1.0,3.0,6.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,Francia,8,0
,0.0,5,1,1,0.0,3.0,,2,,,,,,,,1.0,1,,,5,4,1,5,5,0,1,1,1,5,,2,4,,,2.0,1,0,0,1,3,4,,1,0,2,,,1.0,1.0,5.0,4.0,1.0,5.0,6.0,2.0,1.0,1.0,1.0,2.0,Alemania,5,0
